feature,value
late_payments,1.0410714165709132
income,0.6854210897677343
credit_score,0.4635848312444758
debt,0.44869655345331466
credit_utilization,0.4456715025143417
late_payment_ratio,0.40843520738466726
risk_score_index,0.2632257053803606
employment_length,0.23551954884299292
income_per_credit_line,0.1862223333493531
utilization_risk,0.13476196335691723
debt_to_income,0.1325335571376907
payment_history,0.10638133300182702
loan_amount,0.09699509622822589
num_credit_lines,0.0810590479928265
loan_to_income,0.07512362265665663
age,0.03400837905505309
